id	title	year	RQs	score	reason	rqs_llm	llm_explanation	llm_response	llm_status
alan_improving_2025	Improving {LLM}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
alan_rag-based_2025	A {RAG}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
ateia_bioragent_2025	{BioRAGent}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
bian_empowering_2025	Empowering {IETF}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
cerqueira_mapping_2025	Mapping trustworthiness in large language models: {A}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
chakraborty_scalable_2025	A scalable framework for evaluating multiple language models through cross-domain generation and hallucination detection	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
dangsungnoen_opg-spell_2025	{OPG}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
deng_cram_2025	{CrAM}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
ding_citations_2025	Citations and trust in llm generated responses	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
du_knowledge-augmented_2025	Knowledge-{Augmented}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
fan_why_2025	Why {Did}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
fink_retrieval-augmented_2025	Retrieval-augmented generation improves precision and trust of a {GPT}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
godwin_hybrid_2025	A {Hybrid}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
hiriyanna_multi-layered_2025	Multi-{Layered}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
huang_foodpuzzle_2025	{FoodPuzzle}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
islayem_using_2025	Using large language models for enhanced fraud analysis and detection in blockchain based health insurance claims	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
iyenghar_empirical_2025	Empirical {Evaluation}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
kaufmes_evaluating_2025	Evaluating {Medium}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
kim_notitle_2025		2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías				
lee_memory-augmented_2025	Memory-{Augmented}	2025	RQ1,RQ2,RQ3,RQ4	4.0	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías	RQ4	El artículo describe la evaluación mediante BERTScore, LLM-as-a-Judge y estudio de usuarios, mostrando los métodos y métricas utilizados.	"{""rqs"":""RQ4"",""explanation"":""El artículo describe la evaluación mediante BERTScore, LLM-as-a-Judge y estudio de usuarios, mostrando los métodos y métricas utilizados.""}"	ok
