id	title	year	venue	language	RQs	relevance	score	decision	reason
30–32\%)					RQ3	Baja	1.0	Include	XAI/calibración
59.5\% accuracy) indicates clear opportunities for future refinement. These results confirm that the dual-tool architecture successfully combines the flexibility of semantic search with the precision of structured queries					RQ3	Baja	1.0	Include	XAI/calibración
__2023	カスタマーサポートにおける {LLM}	2023	人工知能学会研究会資料 言語・音声理解と対話処理研究 …		-	Excluir	0.0	Exclude	Fuera de alcance
__2024	검색 증강 생성 ({RAG}	2024	정보처리학회 논문지 (KTSDE)		-	Baja	0.0	Maybe	Fuera de alcance
_fine-tuning_2024	Fine-tuning 과 {RAG}	2024	Proceedings of KIIT …		-	Baja	0.0	Maybe	Fuera de alcance
_llm_2023	{LLM}	2023	지능정보연구		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
_llm_2024	{LLM}	2024	KIBIM Magazine		-	Excluir	0.0	Exclude	Fuera de alcance
_rag_2023	{RAG}	2023	Proceedings of KIIT Conference		-	Baja	0.0	Maybe	Fuera de alcance
_rag_2024	{RAG}	2024	대한전자공학회 학술 …		-	Baja	0.0	Maybe	Fuera de alcance
abbas_pitch_2025	{PITCH}	2025	Proceedings of the 7th {ACM}		RQ4	Baja	1.0	Include	Métricas/metodologías
abbasiantaeb_conversational_2025	Conversational {Gold}	2025	Proceedings of the 48th {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abdallah_arabicaqa_2024	{ArabicaQA}	2024	Proceedings of the 47th {International}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abdelaziem_innovative_2024	Innovative {Approach}	2024			RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
abdenebaoui_value-driven_2025	Value-{Driven}	2025	Proceedings of the 2025 {ACM}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
abdullah_p4omp_2025	{P4OMP}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
abdullah_rails_2025	{RAILS}	2025	2025 {IEEE}		RQ4	Baja	1.0	Include	Métricas/metodologías
abdullahi_k-paths_2025	K-{Paths}	2025	Proceedings of the 31st {ACM}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abdulnazar_large_2024	Large {Language}	2024	IEEE Access		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
abedu_llm-based_2024	Llm-based chatbots for mining software repositories: {Challenges}	2024	… of the 28th International Conference on …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abeysinghe_challenges_2024	The challenges of evaluating llm applications: {An}	2024	arXiv preprint arXiv:2406.03339		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abeywardana_enhancing_2025	Enhancing {Automated}	2025	2025 5th {International}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
abolghasemi_evaluation_2024	Evaluation of {Attribution}	2024	arXiv e …		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
abolghasemi_evaluation_2025	Evaluation of attribution bias in generator-aware retrieval-augmented large language models	2025	Findings of the …		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
abolhasani_ontokgen_2025	{OntoKGen}	2025	2025 {Annual}		RQ4	Baja	1.0	Include	Métricas/metodologías
